icd10,chapter,OR,OR_lo,OR_hi,beta,se,pval,n_ms_with,n_hc_with,pct_ms,pct_hc,n_timing_ms,pct_pre_onset,fdr
R29,R,11.5367486237833,9.17308602336332,14.5094648049061,2.44553747300909,0.116971279917299,4.60843907461434e-97,110,1497,22.0440881763527,3.13173364573963,110,4.54545454545455,2.13370729154644e-94
R26,R,11.8659411047263,9.30749502455448,15.1276533513455,2.47367220446043,0.123904189928,1.12380112476871e-88,93,1156,18.6372745490982,2.4183594485471,93,5.37634408602151,2.60159960383955e-86
Z99,Z,14.6882401072204,11.2289930402781,19.2131562174354,2.68704718091367,0.137014328123653,1.2350515539774e-85,71,647,14.2284569138277,1.35352816886676,71,0,1.90609623163845e-83
H46,H,105.063570771282,65.8665597158135,167.586616802791,4.65456560287211,0.238232005089564,5.22359448029976e-85,39,37,7.81563126252505,0.0774042384050543,39,30.7692307692308,6.04631061094697e-83
N39,N,4.33924127553506,3.59182556230838,5.24218521213659,1.467699511524,0.0964484311709213,2.70871148872024e-52,181,5612,36.2725450901804,11.7403401602477,181,13.2596685082873,2.50826683855494e-50
N31,N,10.4235145409434,7.59612527505778,14.3032995706396,2.34406426745482,0.161441827755313,9.10933767493085e-48,47,500,9.4188376753507,1.04600322168992,47,8.51063829787234,7.02937223915497e-46
R32,R,8.66052192868567,6.37137930193537,11.7721197440658,2.15877498965959,0.156611741121881,3.17055653437468e-43,50,667,10.0200400801603,1.39536829773436,50,6,2.09709667916497e-41
L89,L,9.51863900808229,6.69737863784837,13.5283509363141,2.25325187724743,0.179354936474667,3.36921075672436e-36,38,549,7.61523046092184,1.14851153741554,38,0,1.94993072545422e-34
Z51,Z,3.76833128246331,3.05922387647357,4.64180498968929,1.32663227282372,0.106362767433481,1.05182932058175e-35,126,4382,25.250501002004,9.16717223489048,126,6.34920634920635,5.41107750477057e-34
H53,H,5.44181338583411,4.16810089123381,7.10475434712364,1.69411234830563,0.136046856121116,1.35671217957734e-35,66,1398,13.2264529058116,2.92462500784502,66,13.6363636363636,6.28157739144308e-34
Z50,Z,4.15094766254696,3.31361173486788,5.19987490263131,1.42333666059512,0.114947911998266,3.25263655122319e-35,102,3244,20.4408817635271,6.78646890232422,102,3.92156862745098,1.36906429383304e-33
G82,G,32.6445526842004,18.7715741061022,56.7702428111828,3.48567800211557,0.282313414368226,5.06638051238157e-35,17,65,3.40681362725451,0.13598041881969,17,5.88235294117647,1.95477848102722e-33
K59,K,3.73390212017165,3.01024784781335,4.63152064144814,1.31745383164571,0.10991398714723,4.19592955007825e-33,113,3746,22.6452905811623,7.8366561369009,113,7.9646017699115,1.49439644745095e-31
T83,T,11.1885686043063,7.52249084326759,16.6413053895977,2.4148925967428,0.202548614524182,9.03197760003293e-33,29,334,5.81162324649299,0.698730152088869,29,6.89655172413793,2.98700402058232e-31
R20,R,7.28875860923308,5.21338963127097,10.1902995596203,1.98633324472082,0.170970918108638,3.34017701054537e-31,40,566,8.01603206412826,1.18407564695299,40,17.5,1.03100130392167e-29
F05,F,8.55808607884342,5.92899001186559,12.3530040000604,2.14687657623376,0.187256477619251,1.97990759823106e-30,35,594,7.01402805611223,1.24265182736763,35,0,5.72935761238113e-29
G50,G,9.18267403633015,6.26620740465445,13.4565450857658,2.21731845157647,0.194973040604886,5.73638457985151e-30,31,335,6.2124248496994,0.700822158532248,31,9.67741935483871,1.56232121204191e-28
B96,B,4.40697665512493,3.38591885088128,5.73594468566816,1.4831888886198,0.134471209830475,2.74512468192025e-28,68,1868,13.627254509018,3.90786803623355,68,5.88235294117647,7.06107070960598e-27
A41,A,4.69129096701133,3.56259749716361,6.1775743554202,1.54570780407193,0.140417291442234,3.49838653468745e-28,62,1705,12.4248496993988,3.56687098596264,62,4.83870967741936,8.52501560821205e-27
J69,J,10.8922823519016,7.11132583018401,16.6835014548163,2.38805449734567,0.217533569851247,4.88320092141536e-28,25,304,5.01002004008016,0.635969958787473,25,0,1.13046101330765e-26
Z93,Z,6.52120704936354,4.66355290234777,9.11882898535574,1.87505948907455,0.171062196958711,5.86680574146743e-28,40,748,8.01603206412826,1.56482081964812,40,2.5,1.29349098014258e-26
