cell_type,n_universe,n_markers,n_DEPs,n_DEP_markers,odds_ratio,p_overrep,p_twosided,overlap_genes,p_adj,direction,contrast,cluster
Fibroblasts,2915,173,51,5,1.74388043904107,0.182503910748524,0.225432224228569,"GPRC5C,HGF,ITGBL1,RBP1,TIMP3",0.460687206020169,up,C1_vs_None,C1
Pericytes,2915,321,51,6,1.07893969800197,0.49775747172709,0.821088780053062,"CTSL,GPRC5C,LRIG1,S100A11,SIL1,TIMP3",0.869388120056183,up,C1_vs_None,C1
Plasma cells,2915,1224,51,21,0.966508151408736,0.600439492208395,1,"ATRN,C3,CCL21,CFB,CTSL,ERN1,FBP1,FGA,KIAA2013,LCP1,MFAP3,NPTN,PDXDC1,RBM25,RBP1,RPL14,S100A11,SIL1,SPINK1,TDP1,TIMP3",1,up,C1_vs_None,C1
Oligodendrocytes,2915,1062,51,17,0.870356033982032,0.726380435808865,0.769347253383699,"ATRN,CTSL,FTCD,KIAA2013,LRIG1,LRIG3,MFAP3,NPTN,NTRK2,PDXDC1,PTPRF,RBM25,RBP1,RPL14,SETMAR,SIL1,TDP1",0.865515660056661,up,C1_vs_None,C1
Smooth muscle,2915,724,51,11,0.829683085477667,0.75630145937524,0.743611179706433,"A1BG,CTSL,GPRC5C,HGF,LRIG1,NPTN,NTRK2,PDXDC1,RPL14,S100A11,TIMP3",0.865515660056661,up,C1_vs_None,C1
Microglial cells,2915,1150,51,18,0.834634741798468,0.77413157192669,0.567087225092833,"ATRN,C3,CTSL,ERN1,IL18R1,ITGBL1,LCP1,LRIG1,MFAP3,NPTN,NTRK2,PAMR1,PDXDC1,RBM25,RPL14,S100A11,SIL1,TIMP3",0.729112146547928,up,C1_vs_None,C1
Excitatory neurons,2915,1114,51,17,0.805453218217793,0.80683005647198,0.561419506728696,"ATRN,CTSL,FTCD,IGSF3,LRIG1,MFAP3,NPTN,NTRK2,PAMR1,PDXDC1,PTPRF,RBM25,RPL14,SIL1,STX1B,TDP1,TIMP3",0.729112146547928,up,C1_vs_None,C1
Astrocytes,2915,1116,51,17,0.803077157349786,0.809588168168213,0.561444887681449,"ATRN,CTSL,GPRC5C,HGF,KIAA2013,LRIG1,LRIG3,MFAP3,NPTN,NTRK2,PAMR1,PDXDC1,PTPRF,RBM25,RPL14,SIL1,TIMP3",0.729112146547928,up,C1_vs_None,C1
Inhibitory neurons,2915,1145,51,16,0.702599719029469,0.906635039274537,0.311191369534126,"ATRN,CTSL,HGF,IGSF3,LRIG1,MFAP3,NPTN,NTRK2,PDXDC1,PTPRF,RBM25,RPL14,SIL1,STX1B,TDP1,TIMP3",0.509222241055842,up,C1_vs_None,C1
T-cells,2915,1271,51,18,0.701382589391594,0.912495004190008,0.255937336677872,"C3,CD3G,CTSL,ERN1,IL18R1,KIAA2013,KRT6C,LCP1,LRIG1,NPTN,PDXDC1,RBM25,RBP1,RPL14,S100A11,SIL1,TDP1,TIMP3",0.460687206020169,up,C1_vs_None,C1
dendritic cells,2915,1115,51,15,0.668269569337636,0.929432076407607,0.244551010035942,"CD3G,ERN1,FBP1,GPRC5C,IL18R1,KIAA2013,LCP1,LILRA5,NPTN,PDXDC1,RBM25,RPL14,S100A11,SIL1,TDP1",0.460687206020169,up,C1_vs_None,C1
Macrophages,2915,1416,51,20,0.678527853684788,0.932566892976942,0.203942826690069,"ATRN,C3,CTSL,ERN1,FBP1,HGF,IL18R1,KIAA2013,KRT6C,LCP1,LILRA5,NPTN,PDXDC1,RBM25,RBP1,RPL14,S100A11,SIL1,SPINK1,TIMP3",0.460687206020169,up,C1_vs_None,C1
granulocytes,2915,1277,51,17,0.636603924704387,0.953398760874539,0.154364273489584,"CTSL,ERN1,FBP1,IL18R1,KIAA2013,KRT6C,LCP1,NPTN,PDXDC1,PTPRF,RBM25,RBP1,RPL14,S100A11,SIL1,TDP1,TIMP3",0.460687206020169,up,C1_vs_None,C1
Oligodendrocyte precursor cells,2915,1015,51,12,0.571002320299568,0.971501017336602,0.102701547139797,"ATRN,CTSL,LRIG1,MFAP3,NPTN,NTRK2,PDXDC1,PTPRF,RBM25,RPL14,SIL1,TIMP3",0.36972556970327,up,C1_vs_None,C1
B-cells,2915,1205,51,14,0.531618207764471,0.986844892128905,0.0448682333425561,"C3,ERN1,FBP1,FGA,KIAA2013,LCP1,NPTN,PDXDC1,RBM25,RPL14,S100A11,SIL1,TDP1,TIMP3",0.201907050041503,up,C1_vs_None,C1
monocytes,2915,1227,51,14,0.515118489479968,0.990082430473185,0.0325499500964168,"C3,CTSL,ERN1,FBP1,HGF,KIAA2013,LCP1,LILRA5,NPTN,PDXDC1,RBM25,RPL14,S100A11,SIL1",0.195299700578501,up,C1_vs_None,C1
NK-cells,2915,1142,51,12,0.472268595094763,0.994345133668885,0.0206602668049378,"CD3G,ERN1,IL18R1,KIAA2013,LCP1,NPTN,PDXDC1,RBM25,RPL14,S100A11,SIL1,TDP1",0.195299700578501,up,C1_vs_None,C1
Endothelial,2915,1019,51,10,0.448509973894486,0.994998016115396,0.025188999577116,"C3,KIAA2013,NPTN,PDXDC1,RBM25,RBP1,RPL14,S100A11,SIL1,TIMP3",0.195299700578501,up,C1_vs_None,C1
